tool,slug,x_handle,tweets_returned,useful_count,bad_count,proof_quality_score,best_3_tweet_urls,notes
Parsewise API,parsewise-api,@parsewise,3,3,0,30,https://x.com/adriankuleszo/status/2038606032369532951 | https://x.com/ycombinator/status/1922789019093537145 | https://x.com/maximilianhofer/status/2031692456610128188,
Semantic Scholar,semantic-scholar,@SemanticScholar,3,3,0,30,https://x.com/Faheem_uh/status/2044891448483721676 | https://x.com/AkariAsai/status/2015130435810926638 | https://x.com/UmlandAndreas/status/2045871174572195896,
Typeahead,typeahead,@typeaheadAI,3,3,0,30,https://x.com/hnshah/status/2062195789817090108 | https://x.com/SamAsante/status/2061605259084984625 | https://x.com/SamAsante/status/2061605832769310757,
Blackbox AI,blackbox-ai,@blackbox_ai,2,2,0,20,https://x.com/AIwithArsalan/status/1928436049728229798 | https://x.com/tec_aryan/status/1928206677448478957,
Branda,branda,@brandacooks,2,2,0,20,https://x.com/davekova/status/2062587341512851602 | https://x.com/QuiverAI/status/2064370062128001142,
Exa,exa,@exa_ai,3,2,1,20,https://x.com/siliveru_v30261/status/1936734629802971589 | https://x.com/davidmeltzer/status/1932914135077171632,hard_reject_crypto_noise:1
Inbenta,inbenta,@inbenta,7,2,5,20,https://x.com/Omkar_Raii/status/1655871671532761089 | https://x.com/ThisWeekInVoice/status/1635411698063659008,hard_reject_non_english:1; hard_reject_crypto_noise:4
PlayAI,playai,@PlayAIOfficial,20,2,18,20,https://x.com/MichaelNuunes/status/1983628038224146603 | https://x.com/realmrfakename/status/1999649723771412728,hard_reject_crypto_noise:18
Santiment,santiment,@santimentfeed,20,2,18,20,https://x.com/LeonWaidmann/status/2062394921424740818 | https://x.com/Web3cryptoPump/status/2060968379217739846,hard_reject_crypto_noise:15; hard_reject_non_english:10
Tendem,tendem,@Tendem_AI,2,2,0,20,https://x.com/TolokaAI/status/2027038512973775072 | https://x.com/TolokaAI/status/2054909596632764879,
DodoForm,dodoform,@dofolabs,1,1,0,10,https://x.com/faizydroid/status/2058912073967616446,
LangSmith,langsmith,@LangChainAI,20,1,19,10,https://x.com/ChaiWithJai/status/2002895889690407382,unrelated_tool_post:19
Leonardo AI,leonardo-ai,@LeonardoAi_,20,1,19,10,https://x.com/zeng_wt/status/1978526655506198795,unrelated_tool_post:19; hard_reject_non_english:3
Research Rabbit,research-rabbit,@researchrabbit,1,1,0,10,https://x.com/RsrchRabbit/status/2052393162576933272,
Saveto AI,saveto-ai,@saveto_ai,1,1,0,10,https://x.com/UneedLists/status/2048659924251803870,
Ava Studio,ava-studio,@avastudio_ai,0,0,0,0,,
Clipline,clipline,@clipline_ai,0,0,0,0,,
Co-Invest,co-invest,@coinvest_ai,0,0,0,0,,
Convai,convai,@convai,0,0,0,0,,
Dreamina,dreamina,@DreaminaAI,0,0,0,0,,
Dune Keypad,dune-keypad,@projectmirageai,0,0,0,0,,
Krater,krater,@krater_ai,0,0,0,0,,
MCP Bridge | Appfactor,mcp-bridge-appfactor,@appfactor,0,0,0,0,,
Mina Meeting Assistant,mina-meeting-assistant,@HeyMinaAI,1,0,1,0,,hard_reject_non_english:1
Rezonant,rezonant,@rezonant_ai,0,0,0,0,,
SkyReels,skyreels,@SkyReelsAI,0,0,0,0,,
Tokenwise,tokenwise,@tokenwise_ai,0,0,0,0,,
